stage,act,chapter,index,kingdom,boss,objectives,moves,time_s,target,difficulty,casual_win,casual_win_assist,casual_avg_score,average_win,average_win_assist,average_avg_score,expert_win,expert_win_assist,expert_avg_score
51,1,3,11,North,None,ReachScore:12114,28,900,12114,253,67,67,12720,50,83,11701,100,100,18069
52,1,3,12,North,None,CollectColor:40,0,93,2950,256,33,50,8681,50,100,10693,100,100,17429
53,1,3,13,North,None,ClearIce:10,28,900,3300,259,100,100,6891,100,100,7033,100,100,7422
54,1,3,14,North,None,BreakStones:7,28,900,2950,262,100,100,5041,100,100,5552,100,100,5263
55,1,3,15,North,None,ReachScore:9889 + CollectColor:21,28,900,9889,265,17,67,8579,67,83,10800,100,100,12007
56,1,3,16,North,None,ReachScore:11192,0,93,11192,268,17,17,7320,33,50,9536,100,100,13426
57,1,3,17,North,None,CollectColor:56,28,900,3000,271,0,83,11537,33,100,15324,100,100,18644
58,1,3,18,North,None,ClearIce:9,28,900,3000,274,100,100,5980,100,100,5158,100,100,5260
59,1,3,19,North,None,BreakStones:6,28,900,2850,277,100,100,6549,100,100,5764,100,100,5832
60,1,3,20,North,ChapterBoss,DefeatBoss:7750,33,900,7750,280,100,100,9976,100,100,10978,100,100,10480
61,1,4,1,North,None,ReachScore:5800,28,900,5800,253,83,100,7320,67,100,6551,100,100,6976
62,1,4,2,North,None,CollectColor:32,28,900,2950,256,100,100,9147,83,100,9185,100,100,10347
63,1,4,3,North,None,ClearIce:10,28,900,2500,259,83,100,9749,100,100,7792,100,100,7675
64,1,4,4,North,None,BreakStones:6,0,92,3400,292,100,100,3633,100,100,3020,100,100,2360
65,1,4,5,North,None,ReachScore:15546 + CollectColor:35,28,900,15546,295,33,33,13498,17,67,12167,100,100,21802
66,1,4,6,North,None,ReachScore:10000,28,900,10000,298,50,100,9159,67,100,10059,100,100,10967
67,1,4,7,North,None,CollectColor:24,27,900,2850,301,100,100,9512,100,100,8114,100,100,10356
68,1,4,8,North,None,ClearIce:9,27,900,3000,304,100,100,5265,100,100,5347,100,100,5935
69,1,4,9,North,None,BreakStones:6,0,92,3000,307,100,100,3790,100,100,6646,100,100,2451
70,1,4,10,North,MiniBoss,DefeatBoss:8700,32,900,8700,310,83,100,10449,100,100,11352,100,100,11001
71,1,4,11,North,None,ReachScore:10856,27,900,10856,313,17,67,8490,50,67,10649,100,100,13042
72,1,4,12,North,None,CollectColor:49,0,92,3050,316,0,0,7277,17,33,11900,100,100,17702
73,1,4,13,North,None,ClearIce:10,27,900,3350,319,100,100,7697,100,100,7325,100,100,8270
74,1,4,14,North,None,BreakStones:7,27,900,3050,322,100,100,5975,100,100,5822,100,100,5898
75,1,4,15,North,None,ReachScore:9321 + CollectColor:17,27,900,9321,325,33,67,7132,50,100,9943,100,100,13212
76,1,4,16,North,None,ReachScore:11858,0,91,11858,328,33,50,8355,33,83,11133,100,100,14329
77,1,4,17,North,None,CollectColor:49,27,900,3050,331,0,50,8077,33,100,11337,100,100,15570
78,1,4,18,North,None,ClearIce:9,27,900,2900,334,100,100,7654,100,100,7306,100,100,6577
79,1,4,19,North,None,BreakStones:6,27,900,2900,337,100,100,4846,100,100,5716,100,100,4321
80,1,4,20,North,ChapterBoss,DefeatBoss:7600,32,900,7600,340,83,100,8466,100,100,9517,100,100,15273
81,1,5,1,North,None,ReachScore:10398,27,900,10398,313,17,100,8238,33,83,10476,100,100,11919
82,1,5,2,North,None,CollectColor:19,27,900,3050,316,100,100,7027,100,100,8801,100,100,6340
83,1,5,3,North,None,ClearIce:10,27,900,2550,319,67,100,6561,100,100,7263,100,100,8890
84,1,5,4,North,None,BreakStones:6,0,91,3500,352,100,100,3785,100,100,2642,100,100,2748
85,1,5,5,North,None,ReachScore:7850 + CollectColor:15,27,900,7850,355,67,100,7754,33,100,7651,100,100,9462
86,1,5,6,North,None,ReachScore:11935,27,900,11935,358,33,67,9478,17,83,10230,100,100,15308
87,1,5,7,North,None,CollectColor:15,27,900,2950,361,100,100,7795,100,100,8476,100,100,7944
88,1,5,8,North,None,ClearIce:10,27,900,3000,364,100,100,7762,100,100,5621,100,100,8279
89,1,5,9,North,None,BreakStones:6,0,90,3000,367,100,100,2724,100,100,2437,100,100,2619
90,1,5,10,North,MiniBoss,DefeatBoss:9200,32,900,9200,370,50,83,8530,83,100,11190,100,100,11306
91,1,5,11,North,None,ReachScore:13768,27,900,13768,373,50,67,11840,67,100,14634,100,100,15798
92,1,5,12,North,None,CollectColor:37,0,90,3050,376,17,100,7501,100,100,12495,100,100,12577
93,1,5,13,North,None,ClearIce:11,27,900,3550,379,100,100,5740,100,100,5850,100,100,5461
94,1,5,14,North,None,BreakStones:8,27,900,3050,382,100,100,5753,100,100,6186,100,100,5619
95,1,5,15,North,None,ReachScore:8380 + CollectColor:26,27,900,8380,385,83,100,11797,100,100,12421,100,100,13547
96,1,5,16,North,None,ReachScore:12097,0,90,12097,388,17,17,8416,67,100,11937,100,100,15646
97,1,5,17,North,None,CollectColor:40,27,900,3050,391,17,33,6555,0,67,8510,100,100,15203
98,1,5,18,North,None,ClearIce:10,27,900,3050,394,100,100,5751,100,100,6166,100,100,5044
99,1,5,19,North,None,BreakStones:7,27,900,3050,397,100,100,5624,100,100,6030,100,100,4849
100,1,5,20,North,ChapterBoss,DefeatBoss:7800,31,900,7800,400,83,100,9220,83,100,11182,100,100,10207
101,1,6,1,North,None,ReachScore:6185,27,900,6185,371,83,100,7791,67,100,8853,100,100,8896
102,1,6,2,North,None,CollectColor:25,27,900,3000,373,83,100,9816,83,100,9536,100,100,8859
103,1,6,3,North,None,ClearIce:11,27,900,2450,374,100,100,7465,100,100,7751,100,100,7434
104,1,6,4,North,None,BreakStones:7,0,89,3500,406,100,100,3063,100,100,3100,100,100,4462
105,1,6,5,North,None,ReachScore:7750 + CollectColor:16,26,900,7750,408,67,83,7820,50,100,7629,100,100,8258
106,1,6,6,North,None,ReachScore:4551,26,900,4551,409,33,50,4377,33,33,3828,100,100,6666
107,1,6,7,North,None,CollectColor:14,26,900,2950,411,83,100,6189,100,100,9657,100,100,8258
108,1,6,8,North,None,ClearIce:9,26,900,3000,412,100,100,6676,100,100,8219,100,100,4144
109,1,6,9,North,None,BreakStones:7,0,89,3050,414,100,100,3069,100,100,3123,100,100,3461
110,1,6,10,North,MiniBoss,DefeatBoss:9300,31,900,9300,416,67,100,10444,67,100,10441,100,100,12060
111,1,6,11,North,None,ReachScore:3950,26,900,3950,417,83,100,7089,100,100,18247,100,100,6910
112,1,6,12,North,None,CollectColor:28,0,89,3050,419,33,50,7174,50,100,8840,100,100,8799
113,1,6,13,North,None,ClearIce:11,26,900,3550,420,100,100,5848,100,100,6547,100,100,7434
114,1,6,14,North,None,BreakStones:8,26,900,3050,422,100,100,5543,100,100,5992,100,100,13816
115,1,6,15,North,None,ReachScore:7000 + CollectColor:14,26,900,7000,424,83,100,8335,100,100,9208,100,100,8122
116,1,6,16,North,None,ReachScore:1200,0,89,1200,425,83,83,2452,83,100,3036,100,100,2897
117,1,6,17,North,None,CollectColor:33,26,900,3050,427,17,50,10706,33,83,13563,100,100,20707
118,1,6,18,North,None,ClearIce:10,26,900,3050,428,100,100,7011,100,100,4831,100,100,4178
119,1,6,19,North,None,BreakStones:7,26,900,2950,430,100,100,5044,100,100,4983,100,100,5700
120,1,6,20,North,ChapterBoss,DefeatBoss:8050,31,900,8050,432,100,100,9593,100,100,9844,100,100,13337
121,1,7,1,North,None,ReachScore:4350,26,900,4350,403,67,67,5406,100,100,6860,100,100,7186
122,1,7,2,North,None,CollectColor:17,26,900,3000,405,100,100,5118,100,100,5317,100,100,4770
123,1,7,3,North,None,ClearIce:11,26,900,2450,406,100,100,6121,100,100,6210,100,100,6803
124,1,7,4,North,None,BreakStones:7,0,89,3650,438,100,100,3440,100,100,3238,100,100,3793
125,1,7,5,North,None,ReachScore:8070 + CollectColor:26,26,900,8070,440,33,83,6484,83,100,9145,100,100,9643
126,1,7,6,North,None,ReachScore:9779,26,900,9779,441,33,67,6783,83,100,11907,100,100,10436
127,1,7,7,North,None,CollectColor:32,26,900,3000,443,50,100,11277,100,100,11393,100,100,11594
128,1,7,8,North,None,ClearIce:11,26,900,3100,444,100,100,7097,100,100,5620,100,100,6161
129,1,7,9,North,None,BreakStones:7,0,88,3100,446,100,100,5520,100,100,7272,100,100,5215
130,1,7,10,North,MiniBoss,DefeatBoss:9550,31,900,9550,448,33,67,9159,50,100,9242,100,100,10693
131,1,7,11,North,None,ReachScore:2400,26,900,2400,449,50,67,4087,67,100,4724,100,100,5599
132,1,7,12,North,None,CollectColor:25,0,88,3100,451,0,17,9037,67,83,10208,100,100,19466
133,1,7,13,North,None,ClearIce:10,26,900,3700,452,100,100,4755,100,100,5088,100,100,4736
134,1,7,14,North,None,BreakStones:8,26,900,3150,454,100,100,7714,100,100,6431,100,100,7637
135,1,7,15,North,None,ReachScore:8150 + CollectColor:12,26,900,8150,456,50,100,7426,67,100,8558,100,100,8966
136,1,7,16,North,None,ReachScore:5836,0,88,5836,457,17,50,3916,17,17,3777,100,100,10974
137,1,7,17,North,None,CollectColor:39,26,900,3150,459,0,33,6800,0,83,7706,100,100,12083
138,1,7,18,North,None,ClearIce:10,26,900,3150,460,100,100,5534,100,100,5948,100,100,4658
139,1,7,19,North,None,BreakStones:7,26,900,3050,462,100,100,4529,100,100,5902,100,100,4186
140,1,7,20,North,ChapterBoss,DefeatBoss:8250,31,900,8250,464,83,100,10072,100,100,11460,100,100,11900
141,1,8,1,North,None,ReachScore:4421,26,900,4421,435,33,50,5002,67,67,6912,100,100,9330
142,1,8,2,North,None,CollectColor:26,26,900,3100,437,100,100,8618,100,100,7316,100,100,9290
143,1,8,3,North,None,ClearIce:12,26,900,2450,438,100,100,7212,100,100,6494,100,100,6621
144,1,8,4,North,None,BreakStones:7,0,88,3750,470,100,100,3997,100,100,3868,100,100,2882
145,1,8,5,North,None,ReachScore:10620 + CollectColor:32,26,900,10620,472,17,67,8554,67,83,10009,100,100,13710
146,1,8,6,North,None,ReachScore:1800,26,900,1800,473,83,100,4998,67,67,3789,100,100,4762
147,1,8,7,North,None,CollectColor:28,26,900,3100,475,83,100,9401,67,100,7532,100,100,8130
148,1,8,8,North,None,ClearIce:9,26,900,3200,476,100,100,5451,100,100,6122,100,100,4944
149,1,8,9,North,None,BreakStones:7,0,88,3200,478,100,100,3530,100,100,3270,100,100,2724
150,1,8,10,North,MiniBoss,DefeatBoss:9850,31,900,9850,480,100,100,14166,100,100,11877,100,100,13110
151,1,8,11,North,None,ReachScore:2350,26,900,2350,481,50,100,3833,100,100,6540,100,100,4730
152,1,8,12,North,None,CollectColor:25,0,87,3200,483,17,67,5829,67,100,7681,100,100,11854
153,1,8,13,North,None,ClearIce:12,26,900,3800,484,100,100,5585,100,100,6085,100,100,6648
154,1,8,14,North,None,BreakStones:8,26,900,3200,486,100,100,4818,100,100,6299,100,100,4324
155,1,8,15,North,None,ReachScore:9130 + CollectColor:17,26,900,9130,488,33,83,8123,33,83,8447,100,100,14908
156,1,8,16,North,None,ReachScore:3850,0,87,3850,489,50,83,3820,83,83,5687,100,100,7719
157,1,8,17,North,None,CollectColor:45,26,900,3250,491,0,50,8393,17,67,12817,100,100,19238
158,1,8,18,North,None,ClearIce:11,26,900,3250,492,100,100,5413,100,100,6476,100,100,8451
159,1,8,19,North,None,BreakStones:7,26,900,3150,494,100,100,5461,100,100,4783,100,100,5093
160,1,8,20,North,ChapterBoss,DefeatBoss:8450,31,900,8450,496,83,100,10107,100,100,10057,100,100,10170
161,1,9,1,North,None,ReachScore:1850,26,900,1850,467,83,100,4324,100,100,5011,100,100,4894
162,1,9,2,North,None,CollectColor:15,26,900,3200,469,100,100,5611,100,100,5363,100,100,6711
163,1,9,3,North,None,ClearIce:12,26,900,2500,470,100,100,5846,100,100,6868,100,100,9981
164,1,9,4,North,None,BreakStones:8,0,87,3700,502,100,100,3140,100,100,2618,100,100,3317
165,1,9,5,North,None,ReachScore:9227 + CollectColor:25,25,900,9227,504,67,100,10706,83,100,10004,100,100,11065
166,1,9,6,North,None,ReachScore:6614,25,900,6614,505,67,100,7514,67,83,6745,100,100,9485
167,1,9,7,North,None,CollectColor:31,25,900,2950,507,33,100,9375,50,83,10887,100,100,15554
168,1,9,8,North,None,ClearIce:12,25,900,2950,508,100,100,6770,100,100,6771,100,100,8205
169,1,9,9,North,None,BreakStones:8,0,87,2950,510,100,100,4270,100,100,5141,100,100,4896
170,1,9,10,North,MiniBoss,DefeatBoss:8400,30,900,8400,512,83,100,9384,83,100,10581,100,100,10340
171,1,9,11,North,None,ReachScore:2900,25,900,2900,513,17,100,3072,83,83,6215,100,100,5808
172,1,9,12,North,None,CollectColor:30,0,87,3000,515,50,83,6839,33,100,7688,100,100,9706
173,1,9,13,North,None,ClearIce:13,25,900,3750,516,83,100,8870,83,100,9289,100,100,12261
174,1,9,14,North,None,BreakStones:9,25,900,3000,518,100,100,6152,100,100,6531,100,100,5342
175,1,9,15,North,None,ReachScore:10724 + CollectColor:21,25,900,10724,520,17,50,8338,50,100,11976,100,100,13089
176,1,9,16,North,None,ReachScore:4100,0,86,4100,521,33,50,3374,83,100,5044,100,100,5906
177,1,9,17,North,None,CollectColor:46,25,900,3000,523,33,67,14124,17,50,11274,100,100,21286
178,1,9,18,North,None,ClearIce:12,25,900,3000,524,100,100,6599,100,100,6525,100,100,6775
179,1,9,19,North,None,BreakStones:8,25,900,3000,526,100,100,5686,100,100,4512,100,100,4005
180,1,9,20,North,ChapterBoss,DefeatBoss:7900,30,900,7900,528,83,100,12967,83,100,9305,100,100,10057
181,1,10,1,North,None,ReachScore:1300,26,900,1300,499,83,83,3721,100,100,4458,100,100,4312
182,1,10,2,North,None,CollectColor:20,25,900,2950,501,100,100,6761,100,100,9131,100,100,15314
183,1,10,3,North,None,ClearIce:13,25,900,2200,502,83,100,7940,100,100,6968,100,100,19295
184,1,10,4,North,None,BreakStones:8,0,86,3800,534,100,100,4276,100,100,4490,100,100,4720
185,1,10,5,North,None,ReachScore:16654 + CollectColor:32,25,900,16654,536,0,17,9330,33,33,14941,100,100,20172
186,1,10,6,North,None,ReachScore:2100,25,900,2100,537,67,83,3900,100,100,4908,100,100,5102
187,1,10,7,North,None,CollectColor:19,25,900,3050,539,83,100,7391,100,100,8072,100,100,11587
188,1,10,8,North,None,ClearIce:12,25,900,3050,540,100,100,5658,100,100,6395,100,100,3840
189,1,10,9,North,None,BreakStones:8,0,86,3050,542,100,100,2550,100,100,2844,100,100,2473
190,1,10,10,North,MiniBoss,DefeatBoss:10050,30,900,10050,544,50,83,10494,83,100,13003,100,100,12582
191,1,10,11,North,None,ReachScore:5388,25,900,5388,545,0,50,2859,33,67,4681,100,100,8378
192,1,10,12,North,None,CollectColor:46,0,86,3050,547,0,17,6379,0,17,9076,100,100,25125
193,1,10,13,North,None,ClearIce:13,25,900,3850,548,83,100,6424,100,100,8865,100,100,10514
194,1,10,14,North,None,BreakStones:9,25,900,3050,550,100,100,5793,100,100,11036,100,100,3682
195,1,10,15,North,None,ReachScore:9700 + CollectColor:22,25,900,9700,552,67,83,9341,50,100,9007,100,100,11721
196,1,10,16,North,None,ReachScore:2100,0,86,2100,553,67,83,2889,83,100,4483,100,100,4054
197,1,10,17,North,None,CollectColor:26,25,900,3100,555,50,83,7044,33,83,6973,100,100,8850
198,1,10,18,North,None,ClearIce:12,25,900,3100,556,100,100,6928,100,100,5960,100,100,5256
199,1,10,19,North,None,BreakStones:8,25,900,3100,558,100,100,7377,83,100,7233,100,100,5191
200,1,10,20,North,ActBoss,DefeatBoss:8150,30,900,8150,560,67,100,9622,100,100,9630,100,100,11504
201,2,11,1,East,None,ReachScore:6415,25,900,6415,530,17,50,3101,17,17,2772,100,100,10540
202,2,11,2,East,None,CollectColor:24,25,900,3050,531,67,100,10615,100,100,7607,100,100,12403
203,2,11,3,East,None,ClearIce:12,25,900,2300,532,100,100,6630,100,100,5847,100,100,4811
204,2,11,4,East,None,BreakStones:8,0,85,3900,563,100,100,4338,100,100,3240,100,100,3513
205,2,11,5,East,None,ReachScore:8257 + CollectColor:20,25,900,8257,564,83,100,9566,83,83,9128,100,100,8862
206,2,11,6,East,None,ReachScore:1450,25,900,1450,565,83,83,3719,100,100,4600,100,100,4099
207,2,11,7,East,None,CollectColor:23,25,900,3100,566,67,83,5329,67,100,7232,100,100,8572
208,2,11,8,East,None,ClearIce:12,25,900,3100,567,83,100,5303,100,100,6734,100,100,5600
209,2,11,9,East,None,BreakStones:8,0,85,3100,568,100,100,3134,100,100,3498,100,100,2757
210,2,11,10,East,MiniBoss,DefeatBoss:10300,30,900,10300,569,50,100,10497,100,100,11697,100,100,14707
211,2,11,11,East,None,ReachScore:3983,25,900,3983,570,33,67,3943,17,50,3213,100,100,6749
212,2,11,12,East,None,CollectColor:40,0,85,3150,571,0,50,5896,50,83,9337,100,100,19229
213,2,11,13,East,None,ClearIce:11,25,900,3900,572,100,100,5730,100,100,7018,100,100,5013
214,2,11,14,East,None,BreakStones:9,25,900,3150,573,100,100,4992,100,100,5526,100,100,4998
215,2,11,15,East,None,ReachScore:8923 + CollectColor:27,25,900,8923,574,50,83,8920,83,100,9885,100,100,11248
216,2,11,16,East,None,ReachScore:3108,0,85,3108,575,67,83,3944,50,100,3605,100,100,4602
217,2,11,17,East,None,CollectColor:32,25,900,3150,576,17,83,7450,50,83,10779,100,100,11258
218,2,11,18,East,None,ClearIce:12,25,900,3150,577,100,100,7247,100,100,7394,100,100,7744
219,2,11,19,East,None,BreakStones:8,25,900,3150,578,100,100,4912,100,100,5573,100,100,4495
220,2,11,20,East,ChapterBoss,DefeatBoss:8250,30,900,8250,579,83,100,9783,83,100,10671,100,100,16123
221,2,12,1,East,None,ReachScore:3972,25,900,3972,549,33,100,3472,17,100,3493,100,100,7172
222,2,12,2,East,None,CollectColor:23,25,900,3050,550,33,100,6940,100,100,9989,100,100,10438
223,2,12,3,East,None,ClearIce:12,25,900,2300,551,83,100,7441,83,100,6587,100,100,5042
224,2,12,4,East,None,BreakStones:8,0,85,3950,582,100,100,4230,100,100,3100,100,100,3194
225,2,12,5,East,None,ReachScore:3500 + CollectColor:13,25,900,3500,583,100,100,5292,100,100,5431,100,100,4583
226,2,12,6,East,None,ReachScore:3100,25,900,3100,584,50,67,4152,83,100,5804,100,100,6200
227,2,12,7,East,None,CollectColor:18,25,900,3100,585,83,100,7775,100,100,10216,100,100,13295
228,2,12,8,East,None,ClearIce:12,25,900,3150,586,100,100,6737,100,100,8208,100,100,6109
229,2,12,9,East,None,BreakStones:8,0,85,3150,587,100,100,2784,100,100,3461,100,100,3252
230,2,12,10,East,MiniBoss,DefeatBoss:10450,30,900,10450,588,33,83,9867,50,83,9874,100,100,17602
231,2,12,11,East,None,ReachScore:9232,25,900,9232,589,33,33,6389,67,100,9975,100,100,11594
232,2,12,12,East,None,CollectColor:28,0,85,3150,590,0,17,5834,17,67,9212,100,100,17238
233,2,12,13,East,None,ClearIce:14,25,900,3950,591,100,100,10545,100,100,8896,100,100,17288
234,2,12,14,East,None,BreakStones:9,25,900,3200,592,83,100,6858,100,100,7409,100,100,7245
235,2,12,15,East,None,ReachScore:8150 + CollectColor:25,25,900,8150,593,83,100,8796,100,100,10501,100,100,9387
236,2,12,16,East,None,ReachScore:2700,0,85,2700,594,67,83,3816,83,83,3793,100,100,4429
237,2,12,17,East,None,CollectColor:27,25,900,3200,595,50,83,8607,67,67,10595,100,100,11839
238,2,12,18,East,None,ClearIce:11,25,900,3200,596,83,100,10118,100,100,6070,100,100,4793
239,2,12,19,East,None,BreakStones:8,25,900,3100,597,83,100,6292,100,100,6266,100,100,5692
240,2,12,20,East,ChapterBoss,DefeatBoss:8400,30,900,8400,598,67,100,9848,100,100,11064,100,100,11557
241,2,13,1,East,None,ReachScore:6419,25,900,6419,568,17,17,4399,50,83,7323,100,100,8273
242,2,13,2,East,None,CollectColor:23,25,900,3150,569,100,100,6997,100,100,6829,100,100,6415
243,2,13,3,East,None,ClearIce:11,25,900,2350,570,100,100,6261,100,100,7604,100,100,8865
244,2,13,4,East,None,BreakStones:8,0,84,3850,601,100,100,3570,100,100,3109,100,100,4482
245,2,13,5,East,None,ReachScore:11695 + CollectColor:28,24,900,11695,602,17,67,7838,33,100,8623,100,100,13631
246,2,13,6,East,None,ReachScore:3000,24,900,3000,603,50,83,4224,83,100,4841,100,100,6096
247,2,13,7,East,None,CollectColor:30,24,900,2150,604,33,83,8892,0,83,8213,100,100,10879
248,2,13,8,East,None,ClearIce:17,24,900,3100,605,100,100,6659,100,100,6304,100,100,6165
249,2,13,9,East,None,BreakStones:8,0,84,3100,606,100,100,4291,100,100,3355,100,100,2582
250,2,13,10,East,MiniBoss,DefeatBoss:10250,29,900,10250,607,17,67,8208,83,100,11500,100,100,14168
251,2,13,11,East,None,ReachScore:1811,24,900,1811,608,50,67,3023,50,67,2978,100,100,4860
252,2,13,12,East,None,CollectColor:41,0,84,3100,609,17,33,7340,67,100,8903,100,100,13145
253,2,13,13,East,None,ClearIce:27,24,900,3850,610,50,83,9902,50,83,8659,100,100,9990
254,2,13,14,East,None,BreakStones:9,24,900,3100,611,100,100,5405,67,100,5237,100,100,6522
255,2,13,15,East,None,ReachScore:6800 + CollectColor:14,24,900,6800,612,50,67,6874,100,100,9497,100,100,9068
256,2,13,16,East,None,ReachScore:1500,0,84,1500,613,83,100,2652,100,100,3997,100,100,2882
257,2,13,17,East,None,CollectColor:35,24,900,3100,614,0,50,7316,17,17,9029,100,100,12053
258,2,13,18,East,None,ClearIce:25,24,900,3100,615,83,83,10755,83,100,9210,100,100,9106
259,2,13,19,East,None,BreakStones:8,24,900,2200,616,100,100,5106,100,100,4531,100,100,4030
260,2,13,20,East,ChapterBoss,DefeatBoss:8250,29,900,8250,617,67,100,12460,100,100,9920,100,100,10530
261,2,14,1,East,None,ReachScore:4150,25,900,4150,587,17,50,3378,50,83,4791,100,100,7108
262,2,14,2,East,None,CollectColor:10,25,900,3150,588,100,100,5025,100,100,6638,100,100,5336
263,2,14,3,East,None,ClearIce:14,25,900,2300,589,100,100,8969,83,100,9216,100,100,6977
264,2,14,4,East,None,BreakStones:7,0,84,3900,620,100,100,3498,100,100,3288,100,100,3068
265,2,14,5,East,None,ReachScore:8271 + CollectColor:24,24,900,8271,621,83,100,10646,83,100,10163,100,100,10567
